id,location_id,terminal_id,vehicle_type_id,price
1,1,1,1,800
2,1,2,1,290
3,1,3,1,0
4,1,4,1,0
5,1,5,1,0
6,1,6,1,0
7,2,1,1,415
8,2,2,1,0
9,2,3,1,0
10,2,4,1,250
11,2,5,1,0
12,2,6,1,0
13,3,1,1,0
14,3,2,1,340
15,3,3,1,0
16,3,4,1,0
17,3,5,1,0
18,3,6,1,0
19,4,1,1,0
20,4,2,1,650
21,4,3,1,0
22,4,4,1,0
23,4,5,1,575
24,4,6,1,0
25,5,1,1,800
26,5,2,1,280
27,5,3,1,0
28,5,4,1,0
29,5,5,1,0
30,5,6,1,0
31,6,1,1,0
32,6,2,1,250
33,6,3,1,0
34,6,4,1,0
35,6,5,1,0
36,6,6,1,0
37,7,1,1,0
38,7,2,1,250
39,7,3,1,0
40,7,4,1,0
41,7,5,1,0
42,7,6,1,0
43,8,1,1,0
44,8,2,1,310
45,8,3,1,0
46,8,4,1,0
47,8,5,1,0
48,8,6,1,0
49,9,1,1,295
50,9,2,1,0
51,9,3,1,0
52,9,4,1,250
53,9,5,1,0
54,9,6,1,0
55,10,1,1,350
56,10,2,1,0
57,10,3,1,0
58,10,4,1,270
59,10,5,1,0
60,10,6,1,0
61,11,1,1,0
62,11,2,1,340
63,11,3,1,0
64,11,4,1,0
65,11,5,1,0
66,11,6,1,0
67,12,1,1,1700
68,12,2,1,1400
69,12,3,1,0
70,12,4,1,0
71,12,5,1,0
72,12,6,1,0
73,13,1,1,0
74,13,2,1,750
75,13,3,1,0
76,13,4,1,0
77,13,5,1,0
78,13,6,1,0
79,14,1,1,800
80,14,2,1,0
81,14,3,1,0
82,14,4,1,625
83,14,5,1,0
84,14,6,1,0
85,15,1,1,305
86,15,2,1,550
87,15,3,1,800
88,15,4,1,450
89,15,5,1,850
90,15,6,1,0
91,16,1,1,325
92,16,2,1,0
93,16,3,1,0
94,16,4,1,380
95,16,5,1,0
96,16,6,1,0
97,17,1,1,0
98,17,2,1,750
99,17,3,1,0
100,17,4,1,0
101,17,5,1,0
102,17,6,1,0
103,18,1,1,3000
104,18,2,1,2800
105,18,3,1,0
106,18,4,1,3800
107,18,5,1,0
108,18,6,1,0
109,19,1,1,900
110,19,2,1,0
111,19,3,1,0
112,19,4,1,725
113,19,5,1,0
114,19,6,1,0
115,20,1,1,0
116,20,2,1,435
117,20,3,1,0
118,20,4,1,0
119,20,5,1,0
120,20,6,1,0
121,21,1,1,850
122,21,2,1,600
123,21,3,1,0
124,21,4,1,700
125,21,5,1,0
126,21,6,1,0
127,22,1,1,470
128,22,2,1,750
129,22,3,1,0
130,22,4,1,0
131,22,5,1,0
132,22,6,1,0
133,23,1,1,600
134,23,2,1,0
135,23,3,1,0
136,23,4,1,500
137,23,5,1,0
138,23,6,1,0
139,24,1,1,375
140,24,2,1,850
141,24,3,1,0
142,24,4,1,450
143,24,5,1,0
144,24,6,1,0
145,25,1,1,1200
146,25,2,1,1100
147,25,3,1,0
148,25,4,1,0
149,25,5,1,0
150,25,6,1,0
151,26,1,1,800
152,26,2,1,410
153,26,3,1,0
154,26,4,1,0
155,26,5,1,0
156,26,6,1,0
157,27,1,1,750
158,27,2,1,0
159,27,3,1,0
160,27,4,1,525
161,27,5,1,0
162,27,6,1,0
163,28,1,1,380
164,28,2,1,500
165,28,3,1,0
166,28,4,1,550
167,28,5,1,0
168,28,6,1,0
169,29,1,1,750
170,29,2,1,490
171,29,3,1,0
172,29,4,1,0
173,29,5,1,0
174,29,6,1,0
175,30,1,1,750
176,30,2,1,490
177,30,3,1,0
178,30,4,1,0
179,30,5,1,0
180,30,6,1,0
181,31,1,1,1150
182,31,2,1,800
183,31,3,1,0
184,31,4,1,0
185,31,5,1,0
186,31,6,1,0
187,32,1,1,700
188,32,2,1,750
189,32,3,1,0
190,32,4,1,0
191,32,5,1,0
192,32,6,1,0
193,33,1,1,750
194,33,2,1,450
195,33,3,1,0
196,33,4,1,0
197,33,5,1,0
198,33,6,1,0
199,34,1,1,800
200,34,2,1,1250
201,34,3,1,0
202,34,4,1,0
203,34,5,1,0
204,34,6,1,0
205,35,1,1,350
206,35,2,1,850
207,35,3,1,0
208,35,4,1,375
209,35,5,1,0
210,35,6,1,0
211,36,1,1,1150
212,36,2,1,680
213,36,3,1,0
214,36,4,1,0
215,36,5,1,0
216,36,6,1,0
217,37,1,1,1200
218,37,2,1,700
219,37,3,1,0
220,37,4,1,0
221,37,5,1,0
222,37,6,1,0
223,38,1,1,325
224,38,2,1,0
225,38,3,1,0
226,38,4,1,380
227,38,5,1,0
228,38,6,1,0
229,39,1,1,0
230,39,2,1,600
231,39,3,1,0
232,39,4,1,0
233,39,5,1,0
234,39,6,1,0
235,40,1,1,0
236,40,2,1,0
237,40,3,1,0
238,40,4,1,625
239,40,5,1,0
240,40,6,1,0
241,41,1,1,850
242,41,2,1,600
243,41,3,1,0
244,41,4,1,0
245,41,5,1,0
246,41,6,1,0
247,42,1,1,850
248,42,2,1,600
249,42,3,1,0
250,42,4,1,730
251,42,5,1,0
252,42,6,1,0
253,43,1,1,0
254,43,2,1,500
255,43,3,1,0
256,43,4,1,0
257,43,5,1,0
258,43,6,1,0
259,44,1,1,600
260,44,2,1,380
261,44,3,1,0
262,44,4,1,600
263,44,5,1,0
264,44,6,1,0
265,45,1,1,0
266,45,2,1,1400
267,45,3,1,0
268,45,4,1,0
269,45,5,1,0
270,45,6,1,0
271,46,1,1,4500
272,46,2,1,5200
273,46,3,1,0
274,46,4,1,6000
275,46,5,1,0
276,46,6,1,0
277,47,1,1,4200
278,47,2,1,5200
279,47,3,1,0
280,47,4,1,5800
281,47,5,1,0
282,47,6,1,0
283,48,1,1,4550
284,48,2,1,5550
285,48,3,1,0
286,48,4,1,5700
287,48,5,1,0
288,48,6,1,0
289,49,1,1,4500
290,49,2,1,5200
291,49,3,1,0
292,49,4,1,5900
293,49,5,1,0
294,49,6,1,0
295,50,1,1,850
296,50,2,1,0
297,50,3,1,0
298,50,4,1,800
299,50,5,1,0
300,50,6,1,0
301,51,1,1,0
302,51,2,1,650
303,51,3,1,0
304,51,4,1,0
305,51,5,1,0
306,51,6,1,0
307,52,1,1,0
308,52,2,1,800
309,52,3,1,0
310,52,4,1,0
311,52,5,1,0
312,52,6,1,0
313,53,1,4,0
314,53,2,4,0
315,53,3,4,515
316,53,4,4,690
317,53,5,4,0
318,53,6,4,0
319,54,1,1,0
320,54,2,1,435
321,54,3,1,0
322,54,4,1,0
323,54,5,1,0
324,54,6,1,0
325,55,1,1,0
326,55,2,1,725
327,55,3,1,0
328,55,4,1,0
329,55,5,1,0
330,55,6,1,0
331,56,1,1,1600
332,56,2,1,0
333,56,3,1,0
334,56,4,1,1550
335,56,5,1,0
336,56,6,1,450
337,57,1,1,1650
338,57,2,1,0
339,57,3,1,0
340,57,4,1,1650
341,57,5,1,0
342,57,6,1,310
343,58,1,1,1600
344,58,2,1,1600
345,58,3,1,0
346,58,4,1,0
347,58,5,1,0
348,58,6,1,360
349,59,1,1,1600
350,59,2,1,1600
351,59,3,1,0
352,59,4,1,1450
353,59,5,1,0
354,59,6,1,300
355,60,1,1,1800
356,60,2,1,1600
357,60,3,1,0
358,60,4,1,1600
359,60,5,1,0
360,60,6,1,650
361,61,1,1,2000
362,61,2,1,1650
363,61,3,1,0
364,61,4,1,1800
365,61,5,1,0
366,61,6,1,750
367,62,1,1,1600
368,62,2,1,1600
369,62,3,1,0
370,62,4,1,1560
371,62,5,1,0
372,62,6,1,395
373,63,1,1,1600
374,63,2,1,1600
375,63,3,1,0
376,63,4,1,1500
377,63,5,1,0
378,63,6,1,360
379,64,1,1,0
380,64,2,1,450
381,64,3,1,0
382,64,4,1,0
383,64,5,1,0
384,64,6,1,0
385,65,1,1,750
386,65,2,1,0
387,65,3,1,0
388,65,4,1,550
389,65,5,1,0
390,65,6,1,0
391,66,1,1,325
392,66,2,1,800
393,66,3,1,0
394,66,4,1,120
395,66,5,1,0
396,66,6,1,0
397,67,1,1,370
398,67,2,1,0
399,67,3,1,0
400,67,4,1,550
401,67,5,1,0
402,67,6,1,0
403,68,1,1,0
404,68,2,1,340
405,68,3,1,0
